Bairros_SP,Bairros_Fortaleza,Bairros_RJ,Causa_Afastamento_1,Causa_Afastamento_2,Causa_Afastamento_3,Motivo_Desligamento,CBO_Ocupacao_2002,CNAE_2_0_Classe,CNAE_95_Classe,Distritos_SP,Vinculo_Ativo_31_12,Faixa_Etaria,Faixa_Hora_Contrat,Faixa_Remun_Dezem__SM_,Faixa_Remun_Media__SM_,Faixa_Tempo_Emprego,Escolaridade_apos_2005,Qtd_Hora_Contr,Idade,Ind_CEI_Vinculado,Ind_Simples,Mes_Admissao,Mes_Desligamento,Mun_Trab,Municipio,Nacionalidade,Natureza_Juridica,Ind_Portador_Defic,Qtd_Dias_Afastamento,Raca_Cor,Regioes_Adm_DF,Vl_Remun_Dezembro_Nom,Vl_Remun_Dezembro__SM_,Vl_Remun_Media_Nom,Vl_Remun_Media__SM_,CNAE_2_0_Subclasse,Sexo_Trabalhador,Tamanho_Estabelecimento,Tempo_Emprego,Tipo_Admissao,Tipo_Estab,Tipo_Estab_1,Tipo_Defic,Tipo_Vinculo,IBGE_Subsetor,Vl_Rem_Janeiro_SC,Vl_Rem_Fevereiro_SC,Vl_Rem_Marco_SC,Vl_Rem_Abril_SC,Vl_Rem_Maio_SC,Vl_Rem_Junho_SC,Vl_Rem_Julho_SC,Vl_Rem_Agosto_SC,Vl_Rem_Setembro_SC,Vl_Rem_Outubro_SC,Vl_Rem_Novembro_SC,Ano_Chegada_Brasil,Ind_Trab_Intermitente,Ind_Trab_Parcial,DIV_CNAE_20
"           {ñ class}","           {ñ class}","           {ñ class}",99,99,99,0,991305,45200,50202,"           {ñ class}",1,7,6,5,4,5,7,44,58,0,0,0,{ñ,150080,150080,10,2305,0,0,8,0,"0000002387,59","000002,17","0000002483,50","000002,25",4520001,1,5,"    27,9",0,1,"CNPJ                ",0,10,16,"000002387,59","000002387,59","000002596,59","000002596,59","000002387,59","000002387,59","000002387,59","000002387,59","000002387,59","000003120,53","000002387,59",0,0,0,45
"           {ñ class}","           {ñ class}","           {ñ class}",99,99,99,0,991305,38114,90000,"           {ñ class}",1,6,6,6,4,6,7,44,49,0,0,0,{ñ,150140,150140,10,2062,0,0,8,0,"0000003325,16","000003,02","0000002567,03","000002,32",3811400,1,10,"    43,0",0,1,"CNPJ                ",0,10,14,"000002175,72","000002248,75","000002515,77","000002761,10","000002769,06","000002840,81","000002507,19","000002424,26","000002437,85","000002518,78","000000022,80",0,0,0,38
"           {ñ class}","           {ñ class}","           {ñ class}",99,99,99,0,991305,47440,52442,"           {ñ class}",1,4,6,3,3,4,7,44,25,0,1,0,{ñ,150360,150360,10,2305,0,0,9,0,"0000001508,47","000001,37","0000002198,49","000001,99",4744099,1,6,"    16,2",0,1,"CNPJ                ",0,10,16,"000002177,40","000002177,40","000002177,40","000002177,40","000003116,14","000000023,07","000000023,07","000001714,17","000002422,69","000002239,85","000000020,57",0,0,0,47
"           {ñ class}","           {ñ class}","           {ñ class}",40,99,99,0,991305,45200,50202,"           {ñ class}",1,6,6,2,3,5,7,44,45,0,1,0,{ñ,150140,150140,10,2062,0,14,8,0,"0000000891,94","000000,81","0000001747,16","000001,58",4520002,1,3,"    34,5",0,1,"CNPJ                ",0,10,16,"000001857,02","000001740,96","000001740,96","000001740,96","000001740,96","000001740,96","000001740,96","000001845,41","000002070,97","000002009,43","000001845,41",0,0,0,45
"           {ñ class}","           {ñ class}","           {ñ class}",99,99,99,0,991305,49302,60267,"           {ñ class}",1,5,6,6,4,6,7,44,30,0,0,0,{ñ,150420,150420,10,2062,0,0,2,0,"0000004171,52","000003,79","0000003112,03","000002,82",4930202,1,5,"    54,9",0,1,"CNPJ                ",0,10,20,"000000000,00","000000000,00","000000000,00","000000000,00","000000000,00","000000000,00","000000000,00","000000000,00","000000000,00","000002546,25","000002618,34",0,0,0,49
"           {ñ class}","           {ñ class}","           {ñ class}",99,99,99,0,991305,41204,45217,"           {ñ class}",1,3,6,5,4,2,7,44,21,0,1,9,{ñ,150553,150553,10,2305,0,0,8,0,"0000002700,00","000002,45","0000003221,59","000002,92",4120400,1,5,"     3,9",2,1,"CNPJ                ",0,10,15,"000000000,00","000000000,00","000000000,00","000000000,00","000000000,00","000000000,00","000000000,00","000000000,00","000003664,98","000003510,73","000003010,65",0,0,0,41
"           {ñ class}","           {ñ class}","           {ñ class}",40,40,40,0,991305,49213,60232,"           {ñ class}",1,7,6,3,2,4,7,44,55,0,0,0,{ñ,150442,150442,10,2062,0,15,8,0,"0000001469,34","000001,33","0000001480,17","000001,34",4921301,1,8,"    15,6",0,1,"CNPJ                ",0,10,20,"000001430,85","000001425,50","000001438,51","000001434,87","000001434,51","000001422,37","000001443,53","000001422,37","000001428,52","000001457,93","000001953,77",0,0,0,49
"           {ñ class}","           {ñ class}","           {ñ class}",40,40,40,0,991305,49213,60232,"           {ñ class}",1,7,6,3,2,6,7,44,50,0,0,0,{ñ,150442,150442,10,2062,0,7,8,0,"0000001457,93","000001,32","0000001436,26","000001,30",4921301,1,8,"    40,4",0,1,"CNPJ                ",0,10,20,"000001214,17","000001193,30","000001440,37","000001434,50","000001442,03","000001422,37","000001438,51","000001429,31","000001810,63","000001478,87","000001473,22",0,0,0,49
"           {ñ class}","           {ñ class}","           {ñ class}",40,99,99,0,991305,49302,60267,"           {ñ class}",1,5,6,7,6,7,7,44,36,0,0,0,{ñ,150553,150553,10,2046,0,15,8,0,"0000004681,17","000004,25","0000004481,20","000004,07",4930202,1,10,"   109,5",0,1,"CNPJ                ",0,10,20,"000003537,75","000000035,42","000003829,79","000004834,52","000005186,97","000005087,26","000003773,81","000004905,01","000005369,68","000004083,93","000004942,59",0,0,0,49
"           {ñ class}","           {ñ class}","           {ñ class}",99,99,99,0,991305,52125,63118,"           {ñ class}",1,5,6,6,5,4,7,44,36,0,0,0,{ñ,150420,150420,10,2062,0,0,4,0,"0000004408,85","000004,00","0000003942,54","000003,57",5212500,1,7,"    14,0",0,1,"CNPJ                ",0,10,20,"000003319,69","000003528,74","000003316,51","000003316,51","000004807,93","000003957,84","000003316,51","000004486,08","000003316,51","000003633,09","000005902,29",0,0,0,52
